:START_ID,:TYPE,:END_ID
592,IS_A_GENERAL_OF,334
592,FOUGHT_AGAINST,5
593,FOUND_BY,123
594,IS_SON_OF,595
596,IS_A_GENERAL_OF,128
123,IS_ATTACKED_BY,596
597,IS_KILLED_BY,598
599,IS_SON_OF,159
600,WAS_A_GUARD_OF,218
601,IS_SON_OF,144
601,WAS_SALUTED_BY,6
602,ADMITTED_THE_SUPREMACY_OF,128
603,LIVED_AT,510
603,IS_KILLED_BY,5
603,IS_BROTHER_OF,431
604,IS_SON_OF,288
604,IS_CURSED_BY,288
605,ARE_INVOKED_TO,346
605,ARE_INVOKED_BY,7
606,IS_SON_OF,607
606,IS_FATHER_OF,608
609,IS_DAUGHTER_OF,177
609,IS_WIFE_OF,58
611,IS_ANCESTOR_OF,8
610,IS_SON_OF,611
612,IS_SON_OF,267
612,IS_FATHER_OF,613
614,IS_DAUGHTER_OF,454
614,IS_WIFE_OF,615
617,IS_DAUGHTER_OF,552
617,IS_MOTHER_OF,364
355,WAS_ASKED_TO_VISIT,618
619,IS_SON_OF,128
619,IS_NEPHEW_OF,129
238,DWELT_AT,621
622,IS_SITUATED_NEAR,400
623,PLACE_WAS_VISITED_BY,123
215,IS_SON_OF,224
215,IS_HONOURED_BY,5
123,SET_FIRE_TO_THE_HOUSE_OF,624
625,IS_CHURNED_OUT_FROM,291
5,VISITED_THE_TEMPLE_OF,626
627,IS_A_CONUSELLOR_OF,6
629,IS_SITUATED_IN,133
628,DESCRIBED_THE_HISTORY_OF,629
628,REPLIED_TO,5
10,ARRIVED_TO,630
631,IS_CROSSED_BY,10
632,IS_FOUNDED_BY,376
232,IS_FATHER_OF,376
633,WAS_REJECTED_BY,128
633,IS_MOTHER_OF,142
285,IS_HONOURED_BY,5
123,IS_ASKED_TO_GO_TO,634
635,PLACE_WAS_VISITED_BY,123
635,IS_SON_OF,360
635,APPOINTED_BY,128
637,IS_SON_OF,636
637,IS_FATHER_OF,638
637,BORN_IN_THE_ROYAL_HOUSE_OF,348
640,IS_DAUGHTER_OF,399
640,IS_MOTHER_OF,641
642,IS_MINISTER_OF,10
5,IS_VISITED_BY,642
642,WAS_VISITED_AT,493
643,IS_SON_OF,644
643,IS_FATHER_OF,645
646,A_COURTIER_OF,6
646,WENT_TO_RECEIVE,5
647,CAME_TO_GREET,5
648,PLACE_WAS_VISITED_BY,123
123,SET_FIRE_TO_THE_HOUSE_OF,648
649,IS_DAUGHTER_OF,650
650,IS_DAUGHTER_OF,399
649,IS_MOTHER_OF,189
651,A_MESSENGER_SENT_BY,172
651,WAS_SENT_TO,417
651,REPLIED_TO,10
128,IS_THE_DESTROYER_OF,652
364,WAS_TAKEN_TO,652
128,LAUGHED_AT,653
128,WAS_CURSED_BY,653
10,SET_UP_HIS_ABODE_AT,655
655,WAS_SITUATED_TO_THE_EAST_OF,1
656,IS_KILLED_BY,148
657,CAME_TO_GREET,5
658,IS_SON_OF,149
659,IS_MOTHER_OF,658
663,DWELT_IN,662
662,IS_SITUATED_IN,660
189,WAS_ASKED_TO_VISIT,664
123,BURNT_THE_HOUSE_OF,665
665,FOUGHT_WITH,116
116,IS_ASKED_TO_GO_TO,666
668,IS_FATHER_OF,667
136,IS_ACCOMPANIED_BY,667
669,IS_SON_OF,364
669,MADE_ADVANCES_TO,670
671,EMERGED_FROM,672
673,IS_SON_OF,240
560,IS_RULED_BY,673
674,WAS_PRAYED_BY,552
675,WAS_WORSHIPPED_AT,676
676,IS_VISITED_BY,5
205,HAS_INVOKED_THE_PROTECTION_OF,677
677,IS_HONOURED_BY,409
131,IS_MINISTER_OF,128
678,IS_SITUATED_IN,519
299,DID_SACRIFICES_AT,678
148,WAS_ACCOMPANIED_BY,679
680,FOUGHT_WITH,128
681,DWELT_IN,682
191,WENT_TO_SEE,681
683,IS_KILLED_BY,200
685,IS_KILLED_BY,684
667,IS_SON_OF,107
686,IS_CURSED_BY,677
687,CAME_TO_GREET,5
688,IS_KILLED_BY,200
688,WAS_KILLED_AT,477
364,WAS_ACCOMPANIED_BY,689
364,WAS_CARRIED_TO,652
364,WAS_CARRIED_BY,689
123,WAS_SENT_TO,691
123,WAS_SENT_BY,136
692,IS_HONOURED_BY,5
692,DWELT_AT,693
694,IS_A_FOLLOWER_OF,151
5,FORMED_AN_ACQUAINTANCE_WITH,123
5,FORMED_AN_ACQUAINTANCE_AT_THE_BANK_OF,695
695,IS_CROSSED_BY,128
511,CONTESTED_WITH,5
511,HAS_PROMISED_TO,148
696,IS_A_GENERAL_OF,334
698,IS_SON_OF,697
699,REPLIED_TO,128
686,IS_CURSED_BY,699
700,ARE_CREATED_BY,701
701,HAS_LIVED_WITH,173
702,IS_CROSSED_BY,171
116,IS_SENT_TO,703
116,IS_SENT_TO,704
693,IS_SUBMERGED_IN_THE,705
706,EMERGED_FROM,672
707,IS_A_DOOR_KIPPER_OF,260
708,IS_SITUATED_NEAR,290
205,HAS_INVOKED_THE_PROTECTION_OF,709
128,WAS_ACCOMPANIED_BY,710
552,IS_DESIRED_BY,711
