:ID,:LABEL,lemma
624,Rakshasa,दंष्ट्र
625,Doctor,धन्वन्तरि
626,God,धर्म
627,Human,धर्मपाल
628,Rishi,धर्मभृत्
629,Lake,पञ्चाप्सर
630,Village,धर्मवर्धन
631,River,कुटिकोष्ठिका
632,Town,धर्मारण्य
633,Rakshashi,धान्यमालिनी
634,Hill,धूम्रगिरि
635,Rakshasa,धूम्राक्ष
636,Human,सुचन्द्र
637,Human,धूम्राश्व
638,Human,सृञ्जय
640,Human,धृतराष्ट्री
641,Bird,हंस
642,Human,धृति
643,Human,धृष्टकेतु
644,Human,सुधृति
645,Human,हर्यश्व
646,Human,धृष्टि
647,Rishi,धौम्य
648,Rakshasa,ध्वजग्रीव
649,Devi,नता
650,Devi,शुकी
651,Human,नन्दन 1
652,Forest,नन्दन 2
653,God,नन्दिन्
655,Town,नन्दीग्राम
656,Daitya,नमुचि 1
657,Rishi,नमुचि 2
658,Human,नरक 1
659,Human,कालका
660,Hill,वराह
662,Town,प्राग्ज्योतिष
663,Rakshasa,नरक 2
664,Class_of_kirata,नरव्याघ्र
665,Rakshasa,नरान्तक
666,River,नर्मदा 2
667,Monkey,नल
668,God,विश्वकर्मा
669,Human,नलकुबेर/नलकुबर
670,Nymph,रम्भा
671,River,नलिनी
672,Lake,विन्दु
673,Deva,नहुष 1
674,Nymph,नागदत्ता
675,Deva,नागराज
676,Temple,मन्दिर
677,Deva,नारद
678,Holy_place,निकुम्भिला
679,Devi,निद्रा
680,Class_of_daityas,निवात
681,Rishi,निशाकर
682,Hill,विन्ध्य
683,Rakshasa,निशुम्भक
684,Tribe,निषाद
685,Bird,क्रौञ्च 3
686,King,नृग
687,Rishi,नृषङ्गु
688,Rakshasa,पञ्चजन
689,Nidhi,पद्म 1
690,Regional_elephant,पद्म 2
691,Hill,पद्माचल
692,Monkey,पनस 1
693,Hill,पारियात्र
694,Rakshasa,पनस 2
695,Lake,पम्पा
696,Rakshasa,परुस
697,Epithet,पर्जन्य
698,Monkey,शरभ
699,Rishi,पर्वत
700,Military,पह्लवा(बहु.)
701,Devine_cow,सुरभि
702,Country,पाञ्चाल
703,Town,पाण्ड्य 1
704,Country,पाण्ड्य 2
705,Sea,पश्चिमसमुद्र
706,River,पावनी
707,Demi-god,पिङ्गल
708,Loka,पितृलोक
709,Demon,पिशाच
710,Rakshasa,पिशाच 1
711,Nymph,पुण्डरीका
712,Rakshashi,पुञ्जिकस्थला
